




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	Client Text Box Input (3008)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
cell cycle (GO:0007049)	1316	125	192.21	-	.65	6.23E-07	2.21E-05
nephron tubule morphogenesis (GO:0072078)	62	30	9.06	+	3.31	6.05E-07	2.15E-05
positive regulation of transferase activity (GO:0051347)	693	159	101.22	+	1.57	5.89E-07	2.10E-05
regulation of programmed cell death (GO:0043067)	1532	305	223.76	+	1.36	5.74E-07	2.05E-05
negative regulation of transport (GO:0051051)	430	110	62.80	+	1.75	5.72E-07	2.05E-05
response to retinoic acid (GO:0032526)	111	43	16.21	+	2.65	5.69E-07	2.04E-05
peptide metabolic process (GO:0006518)	544	37	79.45	-	.47	5.49E-07	1.97E-05
negative regulation of apoptotic process (GO:0043066)	895	196	130.72	+	1.50	4.67E-07	1.68E-05
cellular metal ion homeostasis (GO:0006875)	561	135	81.94	+	1.65	4.51E-07	1.63E-05
regulation of protein secretion (GO:0050708)	283	81	41.33	+	1.96	4.42E-07	1.60E-05
positive regulation of cell projection organization (GO:0031346)	353	95	51.56	+	1.84	4.41E-07	1.60E-05
regulation of cell adhesion (GO:0030155)	731	167	106.77	+	1.56	3.88E-07	1.42E-05
nephron epithelium morphogenesis (GO:0072088)	64	31	9.35	+	3.32	3.88E-07	1.41E-05
cell-cell adhesion (GO:0098609)	515	127	75.22	+	1.69	3.89E-07	1.41E-05
positive regulation of intracellular signal transduction (GO:1902533)	1040	222	151.90	+	1.46	3.57E-07	1.31E-05
rRNA processing (GO:0006364)	262	10	38.27	-	.26	3.49E-07	1.28E-05
inner ear morphogenesis (GO:0042472)	101	41	14.75	+	2.78	3.38E-07	1.24E-05
positive regulation of synaptic transmission (GO:0050806)	135	49	19.72	+	2.49	3.31E-07	1.22E-05
cellular ion homeostasis (GO:0006873)	659	154	96.25	+	1.60	3.24E-07	1.20E-05
developmental process involved in reproduction (GO:0003006)	974	211	142.26	+	1.48	3.16E-07	1.17E-05
innate immune response (GO:0045087)	848	69	123.85	-	.56	3.05E-07	1.13E-05
cellular chemical homeostasis (GO:0055082)	762	173	111.29	+	1.55	2.98E-07	1.11E-05
cardiac muscle tissue development (GO:0048738)	168	57	24.54	+	2.32	2.92E-07	1.09E-05
regulation of nervous system process (GO:0031644)	146	52	21.32	+	2.44	2.62E-07	9.79E-06
cellular macromolecule biosynthetic process (GO:0034645)	1639	162	239.38	-	.68	2.52E-07	9.45E-06
nephron morphogenesis (GO:0072028)	66	32	9.64	+	3.32	2.49E-07	9.36E-06
kidney morphogenesis (GO:0060993)	83	37	12.12	+	3.05	2.33E-07	8.77E-06
gastrulation (GO:0007369)	157	55	22.93	+	2.40	2.13E-07	8.03E-06
regulation of synaptic transmission, glutamatergic (GO:0051966)	69	33	10.08	+	3.27	2.08E-07	7.89E-06
positive regulation of potassium ion transport (GO:0043268)	69	33	10.08	+	3.27	2.08E-07	7.87E-06
muscle organ development (GO:0007517)	283	82	41.33	+	1.98	2.07E-07	7.86E-06
cellular response to DNA damage stimulus (GO:0006974)	793	62	115.82	-	.54	2.03E-07	7.72E-06
positive regulation of protein kinase activity (GO:0045860)	539	133	78.72	+	1.69	2.00E-07	7.64E-06
protein-containing complex assembly (GO:0065003)	1358	127	198.34	-	.64	1.99E-07	7.60E-06
blood vessel diameter maintenance (GO:0097746)	130	49	18.99	+	2.58	1.93E-07	7.42E-06
regulation of tube diameter (GO:0035296)	130	49	18.99	+	2.58	1.93E-07	7.40E-06
positive regulation of cell development (GO:0010720)	300	86	43.82	+	1.96	1.81E-07	7.02E-06
regulation of kinase activity (GO:0043549)	914	202	133.49	+	1.51	1.81E-07	7.01E-06
negative regulation of programmed cell death (GO:0043069)	914	202	133.49	+	1.51	1.81E-07	7.00E-06
segmentation (GO:0035282)	95	40	13.88	+	2.88	1.78E-07	6.90E-06
regulation of cellular response to growth factor stimulus (GO:0090287)	299	86	43.67	+	1.97	1.73E-07	6.74E-06
detection of stimulus (GO:0051606)	721	54	105.31	-	.51	1.70E-07	6.64E-06
regulation of signaling receptor activity (GO:0010469)	188	62	27.46	+	2.26	1.68E-07	6.56E-06
positive regulation of neurogenesis (GO:0050769)	227	71	33.15	+	2.14	1.59E-07	6.23E-06
response to hormone (GO:0009725)	819	185	119.62	+	1.55	1.56E-07	6.13E-06
catabolic process (GO:0009056)	2096	217	306.13	-	.71	1.43E-07	5.62E-06
adult behavior (GO:0030534)	133	50	19.43	+	2.57	1.40E-07	5.52E-06
ubiquitin-dependent protein catabolic process (GO:0006511)	545	35	79.60	-	.44	1.33E-07	5.27E-06
positive regulation of secretion (GO:0051047)	317	90	46.30	+	1.94	1.16E-07	4.62E-06
regulation of anatomical structure size (GO:0090066)	514	129	75.07	+	1.72	1.11E-07	4.42E-06
cell differentiation in spinal cord (GO:0021515)	49	28	7.16	+	3.91	1.08E-07	4.33E-06
mitochondrial gene expression (GO:0140053)	142	1	20.74	-	.05	1.07E-07	4.32E-06
RNA 3'-end processing (GO:0031123)	142	1	20.74	-	.05	1.07E-07	4.31E-06
regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090092)	253	77	36.95	+	2.08	1.07E-07	4.30E-06
negative regulation of neuron differentiation (GO:0045665)	70	34	10.22	+	3.33	1.03E-07	4.16E-06
embryonic pattern specification (GO:0009880)	70	34	10.22	+	3.33	1.03E-07	4.15E-06
regulation of amine transport (GO:0051952)	92	40	13.44	+	2.98	1.00E-07	4.06E-06
formation of primary germ layer (GO:0001704)	112	45	16.36	+	2.75	9.84E-08	4.00E-06
mesonephric tubule development (GO:0072164)	81	37	11.83	+	3.13	9.75E-08	3.98E-06
mesonephric epithelium development (GO:0072163)	81	37	11.83	+	3.13	9.75E-08	3.97E-06
renal tubule morphogenesis (GO:0061333)	66	33	9.64	+	3.42	9.36E-08	3.83E-06
nuclear-transcribed mRNA catabolic process (GO:0000956)	195	4	28.48	-	.14	8.75E-08	3.59E-06
eye morphogenesis (GO:0048592)	152	55	22.20	+	2.48	8.02E-08	3.30E-06
positive regulation of neuron differentiation (GO:0045666)	95	41	13.88	+	2.95	7.80E-08	3.23E-06
modification-dependent protein catabolic process (GO:0019941)	552	35	80.62	-	.43	7.82E-08	3.23E-06
positive regulation of MAPK cascade (GO:0043410)	525	132	76.68	+	1.72	7.62E-08	3.18E-06
ureteric bud development (GO:0001657)	80	37	11.68	+	3.17	7.62E-08	3.17E-06
regulation of neurotransmitter receptor activity (GO:0099601)	80	37	11.68	+	3.17	7.62E-08	3.16E-06
negative regulation of cell death (GO:0060548)	1008	221	147.22	+	1.50	7.43E-08	3.11E-06
protein modification by small protein conjugation or removal (GO:0070647)	1035	87	151.17	-	.58	7.06E-08	2.96E-06
regulation of tube size (GO:0035150)	131	50	19.13	+	2.61	6.97E-08	2.93E-06
regulation of cell death (GO:0010941)	1668	335	243.62	+	1.38	6.54E-08	2.76E-06
mRNA catabolic process (GO:0006402)	215	5	31.40	-	.16	6.36E-08	2.69E-06
intracellular transport (GO:0046907)	1464	137	213.82	-	.64	6.26E-08	2.65E-06
camera-type eye morphogenesis (GO:0048593)	125	49	18.26	+	2.68	6.00E-08	2.55E-06
immune response (GO:0006955)	2075	212	303.06	-	.70	5.94E-08	2.53E-06
neurotransmitter transport (GO:0006836)	142	53	20.74	+	2.56	5.75E-08	2.46E-06
localization (GO:0051179)	5831	998	851.65	+	1.17	5.70E-08	2.44E-06
regulation of developmental growth (GO:0048638)	320	92	46.74	+	1.97	5.68E-08	2.44E-06
learning (GO:0007612)	146	54	21.32	+	2.53	5.04E-08	2.17E-06
homeostatic process (GO:0042592)	1680	338	245.37	+	1.38	4.88E-08	2.11E-06
mesonephros development (GO:0001823)	85	39	12.41	+	3.14	4.05E-08	1.75E-06
branching morphogenesis of an epithelial tube (GO:0048754)	132	51	19.28	+	2.65	3.93E-08	1.71E-06
embryonic skeletal system morphogenesis (GO:0048704)	95	42	13.88	+	3.03	3.57E-08	1.56E-06
nephron tubule development (GO:0072080)	77	37	11.25	+	3.29	3.56E-08	1.55E-06
positive regulation of molecular function (GO:0044093)	1618	329	236.32	+	1.39	3.53E-08	1.55E-06
cellular protein metabolic process (GO:0044267)	3590	405	524.34	-	.77	3.30E-08	1.45E-06
morphogenesis of a branching epithelium (GO:0061138)	160	58	23.37	+	2.48	3.07E-08	1.35E-06
forebrain generation of neurons (GO:0021872)	62	33	9.06	+	3.64	3.01E-08	1.33E-06
pancreas development (GO:0031016)	69	35	10.08	+	3.47	2.93E-08	1.30E-06
dorsal/ventral pattern formation (GO:0009953)	76	37	11.10	+	3.33	2.74E-08	1.21E-06
sensory perception of mechanical stimulus (GO:0050954)	177	62	25.85	+	2.40	2.70E-08	1.20E-06
cellular catabolic process (GO:0044248)	1812	177	264.65	-	.67	2.62E-08	1.17E-06
modification-dependent macromolecule catabolic process (GO:0043632)	563	35	82.23	-	.43	2.58E-08	1.16E-06
RNA catabolic process (GO:0006401)	248	7	36.22	-	.19	2.52E-08	1.13E-06
feeding behavior (GO:0007631)	83	39	12.12	+	3.22	2.46E-08	1.11E-06
forebrain neuron differentiation (GO:0021879)	51	30	7.45	+	4.03	2.37E-08	1.07E-06
regulation of insulin secretion (GO:0050796)	189	65	27.60	+	2.35	2.29E-08	1.04E-06
connective tissue development (GO:0061448)	202	68	29.50	+	2.30	2.15E-08	9.78E-07
morphogenesis of a branching structure (GO:0001763)	169	61	24.68	+	2.47	2.14E-08	9.73E-07
regulation of synapse organization (GO:0050807)	210	70	30.67	+	2.28	2.09E-08	9.56E-07
metal ion homeostasis (GO:0055065)	626	154	91.43	+	1.68	2.09E-08	9.55E-07
mesenchymal cell differentiation (GO:0048762)	162	59	23.66	+	2.49	2.06E-08	9.47E-07
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	1528	315	223.17	+	1.41	1.96E-08	9.06E-07
RNA splicing (GO:0008380)	409	20	59.74	-	.33	1.96E-08	9.03E-07
regulation of potassium ion transport (GO:0043266)	120	49	17.53	+	2.80	1.81E-08	8.43E-07
ear morphogenesis (GO:0042471)	120	49	17.53	+	2.80	1.81E-08	8.40E-07
regulation of cytosolic calcium ion concentration (GO:0051480)	321	94	46.88	+	2.00	1.78E-08	8.28E-07
ribosome biogenesis (GO:0042254)	329	13	48.05	-	.27	1.76E-08	8.24E-07
cation homeostasis (GO:0055080)	710	170	103.70	+	1.64	1.68E-08	7.90E-07
regulation of synapse structure or activity (GO:0050803)	221	73	32.28	+	2.26	1.59E-08	7.50E-07
regulation of gene expression (GO:0010468)	4922	864	718.88	+	1.20	1.56E-08	7.38E-07
cardiac chamber morphogenesis (GO:0003206)	119	49	17.38	+	2.82	1.54E-08	7.31E-07
regulation of postsynaptic membrane potential (GO:0060078)	99	44	14.46	+	3.04	1.51E-08	7.16E-07
renal tubule development (GO:0061326)	81	39	11.83	+	3.30	1.47E-08	7.03E-07
angiogenesis (GO:0001525)	318	94	46.45	+	2.02	1.47E-08	7.01E-07
positive regulation of signal transduction (GO:0009967)	1584	326	231.35	+	1.41	1.43E-08	6.84E-07
organic substance catabolic process (GO:1901575)	1769	170	258.37	-	.66	1.19E-08	5.72E-07
regulation of synaptic plasticity (GO:0048167)	188	66	27.46	+	2.40	1.12E-08	5.42E-07
cardiac chamber development (GO:0003205)	162	60	23.66	+	2.54	1.11E-08	5.36E-07
regulation of cellular component organization (GO:0051128)	2390	462	349.07	+	1.32	1.01E-08	4.89E-07
immunoglobulin production (GO:0002377)	138	0	20.16	-	 < 0.01	9.88E-09	4.81E-07
protein catabolic process (GO:0030163)	697	47	101.80	-	.46	9.52E-09	4.64E-07
inorganic ion homeostasis (GO:0098771)	724	174	105.74	+	1.65	9.27E-09	4.54E-07
regulation of phosphate metabolic process (GO:0019220)	1578	326	230.47	+	1.41	8.96E-09	4.41E-07
regulation of phosphorus metabolic process (GO:0051174)	1578	326	230.47	+	1.41	8.96E-09	4.40E-07
diencephalon development (GO:0021536)	79	39	11.54	+	3.38	8.67E-09	4.28E-07
regulation of nucleobase-containing compound metabolic process (GO:0019219)	4049	730	591.38	+	1.23	8.29E-09	4.11E-07
proteolysis involved in cellular protein catabolic process (GO:0051603)	609	38	88.95	-	.43	7.45E-09	3.70E-07
cellular calcium ion homeostasis (GO:0006874)	425	117	62.07	+	1.88	6.99E-09	3.48E-07
regulation of heart contraction (GO:0008016)	230	76	33.59	+	2.26	6.77E-09	3.39E-07
cell surface receptor signaling pathway (GO:0007166)	2495	481	364.41	+	1.32	6.52E-09	3.27E-07
production of molecular mediator of immune response (GO:0002440)	141	0	20.59	-	 < 0.01	6.48E-09	3.26E-07
positive regulation of kinase activity (GO:0033674)	614	154	89.68	+	1.72	6.26E-09	3.16E-07
localization of cell (GO:0051674)	1109	245	161.97	+	1.51	6.20E-09	3.15E-07
cell motility (GO:0048870)	1109	245	161.97	+	1.51	6.20E-09	3.14E-07
DNA repair (GO:0006281)	531	30	77.56	-	.39	5.84E-09	2.98E-07
negative regulation of cellular biosynthetic process (GO:0031327)	1610	333	235.15	+	1.42	5.27E-09	2.70E-07
digestive tract development (GO:0048565)	126	52	18.40	+	2.83	5.09E-09	2.61E-07
positive regulation of protein phosphorylation (GO:0001934)	838	197	122.39	+	1.61	5.01E-09	2.58E-07
cellular protein catabolic process (GO:0044257)	644	41	94.06	-	.44	4.83E-09	2.50E-07
negative regulation of biosynthetic process (GO:0009890)	1643	339	239.97	+	1.41	4.73E-09	2.45E-07
regulation of neurotransmitter levels (GO:0001505)	218	74	31.84	+	2.32	4.66E-09	2.42E-07
cellular response to growth factor stimulus (GO:0071363)	497	132	72.59	+	1.82	4.52E-09	2.36E-07
striated muscle tissue development (GO:0014706)	286	89	41.77	+	2.13	4.44E-09	2.33E-07
negative regulation of cell population proliferation (GO:0008285)	703	172	102.68	+	1.68	4.24E-09	2.22E-07
negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	1540	322	224.92	+	1.43	4.03E-09	2.12E-07
limbic system development (GO:0021761)	109	48	15.92	+	3.02	3.79E-09	2.00E-07
nephron epithelium development (GO:0072009)	98	45	14.31	+	3.14	3.72E-09	1.98E-07
negative regulation of macromolecule biosynthetic process (GO:0010558)	1551	324	226.53	+	1.43	3.65E-09	1.94E-07
regulation of macromolecule metabolic process (GO:0060255)	6340	1089	925.99	+	1.18	3.42E-09	1.83E-07
metanephros development (GO:0001656)	79	40	11.54	+	3.47	3.23E-09	1.73E-07
adenylate cyclase-activating G protein-coupled receptor signaling pathway (GO:0007189)	134	55	19.57	+	2.81	2.02E-09	1.08E-07
regulation of cellular macromolecule biosynthetic process (GO:2000112)	3968	723	579.55	+	1.25	1.98E-09	1.07E-07
cell projection organization (GO:0030030)	1221	268	178.33	+	1.50	1.94E-09	1.05E-07
detection of stimulus involved in sensory perception (GO:0050906)	557	31	81.35	-	.38	1.85E-09	1.00E-07
calcium ion homeostasis (GO:0055074)	438	122	63.97	+	1.91	1.72E-09	9.37E-08
adaptive immune response (GO:0002250)	658	41	96.10	-	.43	1.63E-09	8.94E-08
regulation of macromolecule biosynthetic process (GO:0010556)	3999	729	584.07	+	1.25	1.63E-09	8.92E-08
regulation of phosphorylation (GO:0042325)	1391	299	203.16	+	1.47	1.54E-09	8.48E-08
mesenchyme development (GO:0060485)	224	77	32.72	+	2.35	1.51E-09	8.33E-08
response to growth factor (GO:0070848)	526	140	76.82	+	1.82	1.35E-09	7.50E-08
cellular divalent inorganic cation homeostasis (GO:0072503)	460	127	67.19	+	1.89	1.25E-09	6.96E-08
RNA splicing, via transesterification reactions (GO:0000375)	306	9	44.69	-	.20	1.23E-09	6.85E-08
mRNA splicing, via spliceosome (GO:0000398)	303	9	44.25	-	.20	1.16E-09	6.51E-08
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	303	9	44.25	-	.20	1.16E-09	6.49E-08
regulation of protein phosphorylation (GO:0001932)	1218	269	177.89	+	1.51	1.13E-09	6.39E-08
cellular response to organic substance (GO:0071310)	2344	462	342.35	+	1.35	1.04E-09	5.89E-08
mRNA processing (GO:0006397)	486	24	70.98	-	.34	9.97E-10	5.67E-08
regulation of cellular biosynthetic process (GO:0031326)	4163	757	608.03	+	1.25	9.92E-10	5.66E-08
regulation of molecular function (GO:0065009)	3118	590	455.40	+	1.30	9.05E-10	5.18E-08
positive regulation of phosphorylation (GO:0042327)	921	216	134.52	+	1.61	8.34E-10	4.79E-08
vascular process in circulatory system (GO:0003018)	251	84	36.66	+	2.29	8.05E-10	4.64E-08
plasma membrane bounded cell projection organization (GO:0120036)	1175	262	171.61	+	1.53	8.01E-10	4.64E-08
learning or memory (GO:0007611)	256	85	37.39	+	2.27	7.12E-10	4.14E-08
muscle tissue development (GO:0060537)	301	95	43.96	+	2.16	6.63E-10	3.87E-08
positive regulation of phosphorus metabolic process (GO:0010562)	998	231	145.76	+	1.58	6.34E-10	3.73E-08
positive regulation of phosphate metabolic process (GO:0045937)	998	231	145.76	+	1.58	6.34E-10	3.71E-08
digestive system development (GO:0055123)	136	57	19.86	+	2.87	6.09E-10	3.59E-08
regulation of growth (GO:0040008)	661	168	96.54	+	1.74	5.84E-10	3.46E-08
regulation of biosynthetic process (GO:0009889)	4226	769	617.23	+	1.25	5.77E-10	3.43E-08
enzyme linked receptor protein signaling pathway (GO:0007167)	723	180	105.60	+	1.70	5.68E-10	3.39E-08
peptide biosynthetic process (GO:0043043)	414	17	60.47	-	.28	5.13E-10	3.07E-08
regulation of metabolic process (GO:0019222)	6874	1179	1003.98	+	1.17	4.90E-10	2.95E-08
embryonic skeletal system development (GO:0048706)	123	54	17.96	+	3.01	4.18E-10	2.52E-08
spinal cord development (GO:0021510)	100	48	14.61	+	3.29	3.63E-10	2.20E-08
positive regulation of nervous system development (GO:0051962)	274	90	40.02	+	2.25	3.36E-10	2.04E-08
kidney epithelium development (GO:0072073)	126	55	18.40	+	2.99	3.34E-10	2.04E-08
negative regulation of signal transduction (GO:0009968)	1305	288	190.60	+	1.51	3.19E-10	1.96E-08
regulation of cellular metabolic process (GO:0031323)	6138	1069	896.48	+	1.19	2.98E-10	1.83E-08
ion homeostasis (GO:0050801)	773	191	112.90	+	1.69	2.88E-10	1.78E-08
potassium ion transport (GO:0006813)	167	66	24.39	+	2.71	2.66E-10	1.65E-08
protein-containing complex subunit organization (GO:0043933)	1605	142	234.42	-	.61	2.60E-10	1.62E-08
regulation of peptide hormone secretion (GO:0090276)	222	79	32.42	+	2.44	2.54E-10	1.59E-08
negative regulation of RNA metabolic process (GO:0051253)	1408	307	205.65	+	1.49	2.28E-10	1.43E-08
DNA metabolic process (GO:0006259)	777	50	113.48	-	.44	1.94E-10	1.22E-08
response to organic cyclic compound (GO:0014070)	900	216	131.45	+	1.64	1.72E-10	1.09E-08
chemical homeostasis (GO:0048878)	1139	260	166.36	+	1.56	1.60E-10	1.01E-08
inner ear development (GO:0048839)	195	73	28.48	+	2.56	1.45E-10	9.24E-09
nephron development (GO:0072006)	126	56	18.40	+	3.04	1.44E-10	9.20E-09
regulation of peptide transport (GO:0090087)	228	81	33.30	+	2.43	1.40E-10	8.99E-09
ribonucleoprotein complex biogenesis (GO:0022613)	462	20	67.48	-	.30	1.26E-10	8.13E-09
cell migration (GO:0016477)	968	229	141.38	+	1.62	1.21E-10	7.83E-09
regulation of peptide secretion (GO:0002791)	226	81	33.01	+	2.45	1.18E-10	7.68E-09
synapse organization (GO:0050808)	289	95	42.21	+	2.25	1.17E-10	7.65E-09
endocrine system development (GO:0035270)	124	56	18.11	+	3.09	9.99E-11	6.55E-09
organelle organization (GO:0006996)	3567	383	520.98	-	.74	9.93E-11	6.54E-09
epithelial tube morphogenesis (GO:0060562)	309	100	45.13	+	2.22	9.77E-11	6.46E-09
response to lipid (GO:0033993)	831	204	121.37	+	1.68	9.55E-11	6.34E-09
cellular macromolecule metabolic process (GO:0044260)	4909	559	716.98	-	.78	8.82E-11	5.94E-09
regulation of nitrogen compound metabolic process (GO:0051171)	5740	1013	838.35	+	1.21	8.84E-11	5.92E-09
regulation of transporter activity (GO:0032409)	300	98	43.82	+	2.24	8.86E-11	5.91E-09
regulation of transmembrane transporter activity (GO:0022898)	283	94	41.33	+	2.27	8.29E-11	5.60E-09
heart morphogenesis (GO:0003007)	241	85	35.20	+	2.41	7.84E-11	5.32E-09
metabolic process (GO:0008152)	8313	1028	1214.15	-	.85	7.40E-11	5.04E-09
positive regulation of cell population proliferation (GO:0008284)	939	225	137.15	+	1.64	6.70E-11	4.59E-09
response to chemical (GO:0042221)	4381	802	639.87	+	1.25	6.19E-11	4.27E-09
regulation of ion transmembrane transporter activity (GO:0032412)	272	92	39.73	+	2.32	6.19E-11	4.25E-09
divalent inorganic cation homeostasis (GO:0072507)	481	137	70.25	+	1.95	5.56E-11	3.85E-09
gland development (GO:0048732)	414	123	60.47	+	2.03	5.24E-11	3.65E-09
response to stimulus (GO:0050896)	8540	1439	1247.31	+	1.15	5.20E-11	3.64E-09
regulation of primary metabolic process (GO:0080090)	5925	1044	865.38	+	1.21	4.85E-11	3.40E-09
positive regulation of ion transport (GO:0043270)	297	98	43.38	+	2.26	4.62E-11	3.26E-09
regulation of RNA metabolic process (GO:0051252)	3782	708	552.38	+	1.28	4.13E-11	2.92E-09
cell junction organization (GO:0034330)	502	142	73.32	+	1.94	3.99E-11	2.84E-09
translation (GO:0006412)	387	13	56.52	-	.23	3.92E-11	2.80E-09
reproductive structure development (GO:0048608)	416	124	60.76	+	2.04	3.73E-11	2.68E-09
neuron migration (GO:0001764)	117	55	17.09	+	3.22	3.61E-11	2.62E-09
regulation of blood circulation (GO:1903522)	278	94	40.60	+	2.32	3.62E-11	2.62E-09
transmembrane transport (GO:0055085)	1276	288	186.37	+	1.55	3.57E-11	2.60E-09
visual system development (GO:0150063)	368	114	53.75	+	2.12	3.03E-11	2.22E-09
regulation of hormone secretion (GO:0046883)	276	94	40.31	+	2.33	2.88E-11	2.13E-09
cognition (GO:0050890)	298	99	43.52	+	2.27	2.90E-11	2.13E-09
reproductive system development (GO:0061458)	419	125	61.20	+	2.04	2.85E-11	2.11E-09
locomotory behavior (GO:0007626)	181	72	26.44	+	2.72	2.77E-11	2.07E-09
potassium ion transmembrane transport (GO:0071805)	158	66	23.08	+	2.86	2.70E-11	2.02E-09
eye development (GO:0001654)	364	114	53.16	+	2.14	2.25E-11	1.69E-09
regulation of cell projection organization (GO:0031344)	648	172	94.64	+	1.82	1.87E-11	1.42E-09
ncRNA processing (GO:0034470)	436	16	63.68	-	.25	1.64E-11	1.24E-09
telencephalon development (GO:0021537)	254	90	37.10	+	2.43	1.47E-11	1.12E-09
neuron fate commitment (GO:0048663)	62	40	9.06	+	4.42	1.45E-11	1.12E-09
regulation of cation channel activity (GO:2001257)	186	74	27.17	+	2.72	1.36E-11	1.05E-09
regulation of neuron projection development (GO:0010975)	447	132	65.29	+	2.02	1.32E-11	1.03E-09
positive regulation of transport (GO:0051050)	947	230	138.31	+	1.66	1.33E-11	1.03E-09
inorganic cation transmembrane transport (GO:0098662)	573	158	83.69	+	1.89	1.27E-11	9.91E-10
biological_process (GO:0008150)	17851	2736	2607.23	+	1.05	1.05E-11	8.31E-10
Unclassified (UNCLASSIFIED)	2744	272	400.77	-	.68	1.05E-11	8.26E-10
sensory system development (GO:0048880)	374	117	54.62	+	2.14	1.03E-11	8.25E-10
regulation of plasma membrane bounded cell projection organization (GO:0120035)	631	170	92.16	+	1.84	1.03E-11	8.21E-10
negative regulation of RNA biosynthetic process (GO:1902679)	1301	296	190.02	+	1.56	8.40E-12	6.74E-10
cellular response to stimulus (GO:0051716)	6807	1186	994.20	+	1.19	8.33E-12	6.71E-10
negative regulation of nucleic acid-templated transcription (GO:1903507)	1299	296	189.73	+	1.56	8.09E-12	6.56E-10
embryo development ending in birth or egg hatching (GO:0009792)	633	171	92.45	+	1.85	7.65E-12	6.23E-10
organic substance metabolic process (GO:0071704)	7840	952	1145.07	-	.83	7.36E-12	6.03E-10
cellular protein-containing complex assembly (GO:0034622)	867	55	126.63	-	.43	7.26E-12	5.98E-10
ear development (GO:0043583)	220	83	32.13	+	2.58	6.78E-12	5.61E-10
cellular response to chemical stimulus (GO:0070887)	2914	573	425.60	+	1.35	6.73E-12	5.60E-10
negative regulation of transcription, DNA-templated (GO:0045892)	1297	296	189.43	+	1.56	6.06E-12	5.06E-10
camera-type eye development (GO:0043010)	317	106	46.30	+	2.29	5.15E-12	4.33E-10
cation transmembrane transport (GO:0098655)	641	173	93.62	+	1.85	5.07E-12	4.29E-10
blood vessel morphogenesis (GO:0048514)	410	126	59.88	+	2.10	4.72E-12	4.01E-10
ncRNA metabolic process (GO:0034660)	521	22	76.09	-	.29	4.15E-12	3.55E-10
chordate embryonic development (GO:0043009)	613	168	89.53	+	1.88	3.90E-12	3.35E-10
cellular response to endogenous stimulus (GO:0071495)	1152	271	168.26	+	1.61	3.28E-12	2.85E-10
muscle structure development (GO:0061061)	473	140	69.08	+	2.03	3.29E-12	2.84E-10
negative regulation of transcription by RNA polymerase II (GO:0000122)	906	226	132.33	+	1.71	2.71E-12	2.37E-10
response to organic substance (GO:0010033)	3008	592	439.33	+	1.35	2.24E-12	1.97E-10
regulation of hormone levels (GO:0010817)	538	154	78.58	+	1.96	2.16E-12	1.91E-10
neuropeptide signaling pathway (GO:0007218)	109	56	15.92	+	3.52	1.61E-12	1.43E-10
vasculature development (GO:0001944)	514	150	75.07	+	2.00	1.16E-12	1.04E-10
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	1941	414	283.49	+	1.46	1.06E-12	9.56E-11
morphogenesis of an epithelium (GO:0002009)	441	135	64.41	+	2.10	1.04E-12	9.46E-11
kidney development (GO:0001822)	282	100	41.19	+	2.43	1.04E-12	9.42E-11
blood circulation (GO:0008015)	390	124	56.96	+	2.18	9.82E-13	8.98E-11
blood vessel development (GO:0001568)	492	146	71.86	+	2.03	9.57E-13	8.79E-11
negative regulation of cell communication (GO:0010648)	1401	320	204.62	+	1.56	7.66E-13	7.08E-11
regulation of transcription, DNA-templated (GO:0006355)	3474	672	507.39	+	1.32	7.51E-13	7.06E-11
regulation of nucleic acid-templated transcription (GO:1903506)	3475	672	507.54	+	1.32	7.59E-13	7.06E-11
taxis (GO:0042330)	550	158	80.33	+	1.97	7.51E-13	7.03E-11
macromolecule catabolic process (GO:0009057)	1058	71	154.53	-	.46	6.58E-13	6.23E-11
chemotaxis (GO:0006935)	547	158	79.89	+	1.98	6.18E-13	5.88E-11
cation transport (GO:0006812)	824	213	120.35	+	1.77	6.03E-13	5.77E-11
regulation of RNA biosynthetic process (GO:2001141)	3480	674	508.27	+	1.33	5.37E-13	5.18E-11
cellular metabolic process (GO:0044237)	7542	900	1101.55	-	.82	4.61E-13	4.47E-11
cell fate specification (GO:0001708)	81	49	11.83	+	4.14	4.55E-13	4.44E-11
regulation of cell development (GO:0060284)	500	149	73.03	+	2.04	3.89E-13	3.82E-11
regulation of cell migration (GO:0030334)	892	227	130.28	+	1.74	3.75E-13	3.71E-11
negative regulation of signaling (GO:0023057)	1405	322	205.21	+	1.57	3.71E-13	3.68E-11
regulation of cell motility (GO:2000145)	954	239	139.34	+	1.72	3.61E-13	3.61E-11
cell adhesion (GO:0007155)	953	239	139.19	+	1.72	3.51E-13	3.54E-11
